"","id","designer"
"270","127023","Jacques Bariot"
"271","127023","Guillaume Montiage"
"272","2511","Raymond Edwards"
"273","2511","Suzanne Goldberg"
"274","2511","Gary Grady"
"275","249259","Trevor Benjamin"
"276","249259","David Thompson (I)"
"277","209418","Donald X. Vaccarino"
"278","328871","Sydney Engelstein"
"279","328871","Jacob Fryxelius"
"280","328871","Nick Little (I)"
"281","233398","Carl de Visser"
"282","233398","Jarratt Gray"
"283","148949","Rudiger Dorn"
"284","296151","S J Macdonald"
"285","296151","Shem Phillips"
"286","146652","Ben Cichoski"
"287","146652","Daniel Mandel"
"288","265188","Matthias Cramer"
"289","294484","Rob Daviau"
"290","294484","Justin D. Jacobson"
"291","294484","Chris Leder"
"292","294484","Kevin Rodgers"
"293","283948","Simone Luciani"
"294","283948","Daniele Tascini"
"295","359609","Nate French"
"296","359609","MJ Newman"
"297","103885","Jay Little"
"298","244522","Wolfgang Warsch"
"299","329082","Daniel Piechnick"
"300","82222","Cody Miller"
"301","54043","Sebastien Pauchon"
"302","233867","Benoit Turpin"
"303","350184","Maxime Tardif"
"304","271896","Corey Konieczka"
"305","271896","Tony Fanchi"
"306","339789","Alexis Allard"
"307","339789","Benoit Turpin"
"308","283355","Bill Eberle"
"309","283355","Jack Kittredge"
"310","283355","Peter Olotka"
"311","9609","Roberto Di Meglio"
"312","9609","Marco Maggi"
"313","9609","Francesco Nepitello"
"314","43111","Eric M. Lang"
"315","188920","Michal Oracz"
"316","188920","Jakub Wisniewski"
"317","364011","Alexander Pfister"
"318","10630","Richard Borg"
"319","314491","Klemens Kalicki"
"320","104162","Daniel Clark (I)"
"321","104162","Corey Konieczka"
"322","104162","Adam Sadler"
"323","104162","Kevin Wilson"
"324","227224","Isra C."
"325","227224","Shei S."
"326","199561","Adrian Adamescu"
"327","199561","Daryl Andrews"
"328","25021","Matt Calkins"
"329","391163","Kosch"
"330","39463","Bill Eberle"
"331","39463","Jack Kittredge"
"332","39463","Bill Norton"
"333","39463","Peter Olotka"
"334","39463","Kevin Wilson"
"335","155426","Ted Alspach"
"336","316377","Antoine Bauza"
"337","118","Reiner Knizia"
"338","242302","John D. Clair"
"339","128882","Don Eskridge"
"340","282524","Prospero Hall"
"341","282524","Peter Lee"
"342","17133","Glenn Drover"
"343","17133","Martin Wallace"
"344","300531","Peter Rustemeyer"
"345","287954","Michael Kiesling"
"346","31627","Alan R. Moon"
"347","103343","Christian T. Petersen"
"348","374173","Caleb Grace"
"349","70149","Uwe Rosenberg"
"350","188","(Uncredited)"
"351","171131","Roberto Fraga"
"352","171131","Yohan Lemonnier"
"353","822","Klaus-Jurgen Wrede"
"354","14105","Richard Borg"
"355","299659","Christian Marcussen"
"356","123260","Ted Alspach"
"357","148228","Marc Andre"
"358","104006","Inka Brand"
"359","104006","Markus Brand"
"360","256680","Tim Burrell-Saward"
"361","256680","Isaac Childres"
"362","256680","Noah Cohen"
"363","256680","Rob Daviau"
