"","id","category"
"366","93","Renaissance"
"367","229853","Ancient"
"368","229853","City Building"
"369","229853","Economic"
"370","418059","Science Fiction"
"371","418059","Space Exploration"
"372","317985","Civilization"
"373","317985","Science Fiction"
"374","317985","Space Exploration"
"375","25613","Civilization"
"376","25613","Economic"
"377","256916","Ancient"
"378","256916","Economic"
"379","291453","Card Game"
"380","366161","Animals"
"381","366161","Economic"
"382","366161","Educational"
"383","62219","Animals"
"384","62219","Environmental"
"385","62219","Prehistoric"
"386","380607","Animals"
"387","380607","Economic"
"388","279537","Deduction"
"389","279537","Puzzle"
"390","279537","Space Exploration"
"391","68448","Ancient"
"392","68448","Card Game"
"393","68448","City Building"
"394","68448","Civilization"
"395","68448","Economic"
"396","121921","Adventure"
"397","121921","Exploration"
"398","121921","Fighting"
"399","121921","Novel-based"
"400","121921","Territory Building"
"401","171623","Dice"
"402","171623","Economic"
"403","171623","Medieval"
"404","171623","Travel"
"405","240980","Bluffing"
"406","240980","Deduction"
"407","240980","Horror"
"408","240980","Murder / Mystery"
"409","240980","Party Game"
"410","277659","Card Game"
"411","277659","Fantasy"
"412","277659","Horror"
"413","225694","Deduction"
"414","225694","Party Game"
"415","225694","Spies / Secret Agents"
"416","225694","Word Game"
"417","155821","Ancient"
"418","155821","Card Game"
"419","155821","Exploration"
"420","155821","Miniatures"
"421","155821","Mythology"
"422","155821","Wargame"
"423","364073","Card Game"
"424","364073","Economic"
"425","364073","Renaissance"
"426","163068","Post-Napoleonic"
"427","37111","Bluffing"
"428","37111","Deduction"
"429","37111","Movies / TV / Radio theme"
"430","37111","Political"
"431","37111","Science Fiction"
"432","37111","Space Exploration"
"433","37111","Spies / Secret Agents"
"434","310873","Economic"
"435","310873","Industry / Manufacturing"
"436","310873","Post-Napoleonic"
"437","236457","City Building"
"438","236457","Economic"
"439","236457","Medieval"
"440","337627","Civilization"
"441","337627","Economic"
"442","337627","Science Fiction"
"443","337627","Space Exploration"
"444","264220","Adventure"
"445","264220","Exploration"
"446","264220","Fantasy"
"447","264220","Mature / Adult"
"448","264220","Medieval"
"449","264220","Miniatures"
"450","264220","Mythology"
"451","264220","Travel"
"452","217372","Adventure"
"453","217372","Exploration"
"454","122515","City Building"
"455","122515","Economic"
"456","122515","Renaissance"
"457","122515","Territory Building"
"458","122515","Transportation"
"459","42","Abstract Strategy"
"460","42","Ancient"
"461","42","Civilization"
"462","42","Territory Building"
"463","170042","Medieval"
"464","170042","Nautical"
"465","271055","Economic"
"466","271055","Fantasy"
"467","271055","Fighting"
"468","40834","Card Game"
"469","40834","Medieval"
"470","18602","City Building"
"471","18602","Economic"
"472","18602","Medieval"
"473","203993","Renaissance"
"474","73439","Dice"
"475","73439","Economic"
"476","73439","Medieval"
"477","12","Ancient"
"478","12","Mythology"
"479","146021","Adventure"
"480","146021","Fighting"
"481","146021","Horror"
"482","146021","Novel-based"
"483","146021","Travel"
"484","359871","Science Fiction"
"485","359871","Space Exploration"
"486","359871","Wargame"
"487","172386","Economic"
"488","172386","Post-Napoleonic"
"489","310100","Adventure"
"490","310100","Exploration"
"491","310100","Horror"
"492","310100","Miniatures"
"493","310100","Science Fiction"
"494","269385","Adventure"
"495","269385","Exploration"
"496","269385","Fantasy"
"497","269385","Fighting"
"498","269385","Miniatures"
"499","269385","Novel-based"
"500","12493","Civilization"
"501","12493","Negotiation"
"502","12493","Political"
"503","12493","Science Fiction"
"504","12493","Space Exploration"
"505","12493","Wargame"
"506","163412","Abstract Strategy"
"507","163412","Economic"
"508","163412","Puzzle"
"509","36218","Card Game"
"510","36218","Medieval"
"511","4098","Economic"
"512","4098","Post-Napoleonic"
"513","4098","Trains"
"514","4098","Transportation"
"515","102680","Ancient"
"516","102680","Political"
"517","144733","Industry / Manufacturing"
"518","144733","Trains"
"519","218417","Card Game"
"520","218417","Fantasy"
"521","218417","Fighting"
"522","218417","Science Fiction"
"523","43015","Medieval"
"524","180263","Adventure"
"525","180263","Card Game"
"526","180263","Exploration"
"527","180263","Science Fiction"
"528","227935","Fantasy"
"529","227935","Novel-based"
"530","205896","Bluffing"
"531","205896","Fantasy"
"532","205896","Miniatures"
"533","205896","Mythology"
"534","205896","Negotiation"
"535","205896","Wargame"
"536","175640","Economic"
"537","175640","Industry / Manufacturing"
"538","410201","Animals"
"539","410201","Card Game"
"540","410201","Fantasy"
"541","196340","Economic"
"542","198928","Medical"
"543","198928","Post-Napoleonic"
"544","198928","Trains"
"545","233371","Science Fiction"
"546","175155","Bluffing"
"547","175155","Fighting"
"548","175155","Miniatures"
"549","175155","Science Fiction"
"550","175155","Wargame"
"551","178900","Card Game"
"552","178900","Deduction"
"553","178900","Party Game"
"554","178900","Spies / Secret Agents"
"555","178900","Word Game"
"556","254640","Deduction"
"557","254640","Party Game"
"558","254640","Word Game"
"559","172287","Adventure"
"560","172287","Dice"
"561","172287","Fantasy"
"562","172287","Fighting"
"563","172287","Medieval"
"564","172287","Mythology"
"565","325494","Adventure"
"566","325494","Exploration"
"567","325494","Miniatures"
"568","325494","Science Fiction"
"569","325494","Space Exploration"
"570","132531","Civilization"
"571","132531","Dice"
"572","132531","Economic"
"573","132531","Science Fiction"
"574","132531","Space Exploration"
"575","266524","Animals"
"576","266524","Economic"
"577","266524","Environmental"
"578","266524","Travel"
"579","220877","Dice"
"580","220877","Economic"
"581","220877","Renaissance"
"582","220877","Territory Building"
"583","30549","Medical"
"584","30549","Travel"
"585","304783","Ancient"
"586","304783","City Building"
"587","118048","Arabian"
"588","118048","Card Game"
"589","189932","Fantasy"
"590","189932","Fighting"
"591","396790","Economic"
"592","396790","Industry / Manufacturing"
"593","396790","Science Fiction"
"594","263918","Fantasy"
"595","263918","Territory Building"
"596","262712","Card Game"
"597","262712","Fantasy"
"598","147020","Card Game"
"599","147020","Fighting"
"600","147020","Science Fiction"
"601","463","Card Game"
"602","463","Collectible Components"
"603","463","Fantasy"
"604","463","Fighting"
"605","281259","Animals"
"606","281259","Fantasy"
"607","281259","Nautical"
"608","281259","Pirates"
"609","281259","Puzzle"
"610","274364","Card Game"
"611","274364","Political"
"612","161970","Deduction"
"613","161970","Fantasy"
"614","161970","Puzzle"
"615","271324","Card Game"
"616","271324","Civilization"
"617","271324","Economic"
"618","271324","Science Fiction"
"619","14996","Trains"
"620","268864","Wargame"
"621","268864","World War II"
"622","235802","Adventure"
"623","235802","Dice"
"624","235802","Fantasy"
"625","235802","Fighting"
"626","77423","Adventure"
"627","77423","Card Game"
"628","77423","Collectible Components"
"629","77423","Fantasy"
"630","77423","Novel-based"
"631","34635","Dice"
"632","34635","Economic"
"633","34635","Prehistoric"
"634","308765","City Building"
"635","308765","Medieval"
"636","308765","Puzzle"
"637","258779","City Building"
"638","258779","Industry / Manufacturing"
"639","258779","Puzzle"
"640","258779","Science Fiction"
